tv_ticker,exchange,local_symbol,vendor_symbol,mcap_band,mcap_decile_file,us_listed,symbol_needs_manual_map
NASDAQ:SIRI,NASDAQ,SIRI,SIRI,$13B-7B,3,Y,N
NYSE:CTRE,NYSE,CTRE,CTRE,$13B-7B,3,Y,N
NYSE:GTLS,NYSE,GTLS,GTLS,$13B-7B,3,Y,N
EURONEXT:SOF,EURONEXT,SOF,,$13B-7B,3,N,Y
LSE:SGE,LSE,SGE,SGE.L,$13B-7B,3,N,N
SZSE:002837,SZSE,002837,002837.SZ,$13B-7B,3,N,N
SZSE:002851,SZSE,002851,002851.SZ,$13B-7B,3,N,N
NASDAQ:KRYS,NASDAQ,KRYS,KRYS,$13B-7B,3,Y,N
NASDAQ:CORT,NASDAQ,CORT,CORT,$13B-7B,3,Y,N
NSE:INDUSINDBK,NSE,INDUSINDBK,INDUSINDBK.NS,$13B-7B,3,N,N
TSX:ATZ,TSX,ATZ,ATZ.TO,$13B-7B,3,N,N
NYSE:BRX,NYSE,BRX,BRX,$13B-7B,3,Y,N
XETR:BNR,XETR,BNR,BNR.DE,$13B-7B,3,N,N
MIL:SPM,MIL,SPM,SPM.MI,$13B-7B,3,N,N
XETR:PAH3,XETR,PAH3,PAH3.DE,$13B-7B,3,N,N
NASDAQ:ENSG,NASDAQ,ENSG,ENSG,$13B-7B,3,Y,N
NYSE:SSB,NYSE,SSB,SSB,$13B-7B,3,Y,N
NYSE:BEP,NYSE,BEP,BEP,$13B-7B,3,Y,N
NYSE:ALSN,NYSE,ALSN,ALSN,$13B-7B,3,Y,N
SSE:600958,SSE,600958,600958.SS,$13B-7B,3,N,N
HKEX:1157,HKEX,1157,1157.HK,$13B-7B,3,N,N
EURONEXT:ABVX,EURONEXT,ABVX,,$13B-7B,3,N,Y
ASX:SOL,ASX,SOL,SOL.AX,$13B-7B,3,N,N
SSE:601077,SSE,601077,601077.SS,$13B-7B,3,N,N
HKEX:1072,HKEX,1072,1072.HK,$13B-7B,3,N,N
NYSE:HMY,NYSE,HMY,HMY,$13B-7B,3,Y,N
HKEX:2016,HKEX,2016,2016.HK,$13B-7B,3,N,N
NYSE:AYI,NYSE,AYI,AYI,$13B-7B,3,Y,N
NASDAQ:WYNN,NASDAQ,WYNN,WYNN,$13B-7B,3,Y,N
HKEX:1997,HKEX,1997,1997.HK,$13B-7B,3,N,N
NASDAQ:FRHC,NASDAQ,FRHC,FRHC,$13B-7B,3,Y,N
NYSE:BMNR,NYSE,BMNR,BMNR,$13B-7B,3,Y,N
NASDAQ:LINE,NASDAQ,LINE,LINE,$13B-7B,3,Y,N
NSE:BHARTIHEXA,NSE,BHARTIHEXA,BHARTIHEXA.NS,$13B-7B,3,N,N
NYSE:WLK,NYSE,WLK,WLK,$13B-7B,3,Y,N
SSE:603799,SSE,603799,603799.SS,$13B-7B,3,N,N
NYSE:TKR,NYSE,TKR,TKR,$13B-7B,3,Y,N
OMXSTO:TREL_B,OMXSTO,TREL_B,TREL_B.ST,$13B-7B,3,N,N
SZSE:002466,SZSE,002466,002466.SZ,$13B-7B,3,N,N
LSE:PSON,LSE,PSON,PSON.L,$13B-7B,3,N,N
SSE:603228,SSE,603228,603228.SS,$13B-7B,3,N,N
HKEX:168,HKEX,168,0168.HK,$13B-7B,3,N,N
NASDAQ:ERIE,NASDAQ,ERIE,ERIE,$13B-7B,3,Y,N
