vendor_symbol,company_name,sector,industry,country,shares_outstanding,source
MAGH,Magnitude International Ltd,Industrials,Engineering & Construction,Singapore,33350000.0,yfinance
MAGN,Magnera Corporation,Consumer Defensive,Household & Personal Products,United States,35600000.0,yfinance
MAIA,"MAIA Biotechnology, Inc.",Healthcare,Biotechnology,United States,60800758.0,yfinance
MAIN,Main Street Capital Corporation,Financial Services,Asset Management,United States,92989838.0,yfinance
MAIR,Madison Air Solutions Corporation,Industrials,Building Products & Equipment,United States,177342753.0,yfinance
MAKO,Mako Mining Corp.,Basic Materials,Gold,Canada,87564647.0,yfinance
MAMA,"Mama's Creations, Inc.",Consumer Defensive,Packaged Foods,United States,46497291.0,yfinance
MAMK,MaxsMaking Inc.,Industrials,Conglomerates,China,9200000.0,yfinance
MAMO,Massimo Group,Consumer Cyclical,Recreational Vehicles,United States,41640950.0,yfinance
MAN,ManpowerGroup Inc.,Industrials,Staffing & Employment Services,United States,46507342.0,yfinance
MANE,"Veradermics, Incorporated",Healthcare,Biotechnology,United States,41778687.0,yfinance
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,United States,58300070.0,yfinance
MANU,Manchester,Communication Services,Entertainment,United Kingdom,,yfinance
MAR,Marriott International,Consumer Cyclical,Lodging,United States,,yfinance
MARA,"MARA Holdings, Inc.",Financial Services,Capital Markets,United States,381270503.0,yfinance
MAS,Masco Corporation,Industrials,Building Products & Equipment,United States,197187430.0,yfinance
MASK,3 E Network Technology Group Limited,Technology,Software - Application,Hong Kong,3211716.0,yfinance
MASS,908 Devices Inc.,Healthcare,Medical Devices,United States,41027204.0,yfinance
MAT,"Mattel, Inc.",Consumer Cyclical,Leisure,United States,290569000.0,yfinance
MATH,Metalpha Technology Holding Limited,Financial Services,Capital Markets,Hong Kong,47113236.0,yfinance
MATV,"Mativ Holdings, Inc.",Basic Materials,Specialty Chemicals,United States,55117428.0,yfinance
MATW,Matthews International Corporation,Industrials,Conglomerates,United States,31202438.0,yfinance
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,United States,,yfinance
MCFT,"MasterCraft Boat Holdings, Inc.",Consumer Cyclical,Recreational Vehicles,United States,24222270.0,yfinance
MCHB,Mechanics Bancorp,Financial Services,Banks - Regional,United States,220311021.0,yfinance
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,United States,543008370.0,yfinance
MCHX,"Marchex, Inc.",Communication Services,Advertising Agencies,United States,39641872.0,yfinance
MCI,Barings Corporate Investors,Financial Services,Asset Management,United States,20555752.0,yfinance
MCK,McKesson Corporation,Healthcare,Medical Distribution,United States,,yfinance
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,United States,173180984.0,yfinance
MCRB,"Seres Therapeutics, Inc.",Healthcare,Biotechnology,United States,9683934.0,yfinance
MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,Resorts & Casinos,United States,17922521.0,yfinance
MCRP,Micropolis AI Robotics,Technology,Computer Hardware,United Arab Emirates,34888447.0,yfinance
MCS,The Marcus Corporation,Communication Services,Entertainment,United States,23847575.0,yfinance
MCTA,Charming Medical Limited,Healthcare,Medical Care Facilities,Hong Kong,15178000.0,yfinance
MCY,Mercury General Corporation,Financial Services,Insurance - Property & Casualty,United States,,yfinance
MD,"Pediatrix Medical Group, Inc.",Healthcare,Medical Care Facilities,United States,,yfinance
MDA,MDA Space Ltd.,Industrials,Aerospace & Defense,Canada,161919141.0,yfinance
MDAI,"Spectral AI, Inc.",Healthcare,Medical Devices,United States,31823985.0,yfinance
MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,United States,80431927.0,yfinance
MDBH,"MDB Capital Holdings, LLC",Financial Services,Capital Markets,United States,5438632.0,yfinance
MDCX,Medicus Pharma Ltd.,Healthcare,Drug Manufacturers - General,United States,56658164.0,yfinance
MDGL,"Madrigal Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,23104126.0,yfinance
MDIA,MediaCo Holding Inc.,Communication Services,Broadcasting,United States,76911042.0,yfinance
MDLN,Medline Inc.,Healthcare,Medical Instruments & Supplies,United States,845606187.0,yfinance
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,United States,1276308057.0,yfinance
MDRR,"Medalist Diversified, Inc.",Real Estate,Real Estate Services,United States,1628500.0,yfinance
MDT,Medtronic plc.,Healthcare,Medical Devices,Ireland,,yfinance
MDU,"MDU Resources Group, Inc.",Utilities,Utilities - Regulated Gas,United States,209006024.0,yfinance
MDV,"Modiv Industrial, Inc.",Real Estate,REIT - Industrial,United States,10323670.0,yfinance
MDWD,MediWound Ltd.,Healthcare,Biotechnology,Israel,12852255.0,yfinance
MDXG,"MiMedx Group, Inc.",Healthcare,Biotechnology,United States,145760468.0,yfinance
MDXH,MDxHealth SA,Healthcare,Diagnostics & Research,Belgium,51364520.0,yfinance
MEC,"Mayville Engineering Company, Inc.",Industrials,Metal Fabrication,United States,25494006.0,yfinance
MED,MEDIFAST INC,Consumer Cyclical,Personal Services,United States,,yfinance
MEDP,"Medpace Holdings, Inc.",Healthcare,Diagnostics & Research,United States,27911655.0,yfinance
MEDS,"DataMEDS AI, Inc.",Healthcare,Medical Distribution,United States,2847198.0,yfinance
MEGL,Magic Empire Global Limited,Financial Services,Capital Markets,Hong Kong,4064050.0,yfinance
MEI,"Methode Electronics, Inc.",Technology,Electronic Components,United States,35471806.0,yfinance
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,Uruguay,50697182.0,yfinance
MENS,Jyong Biotech Ltd.,Healthcare,Biotechnology,Taiwan,74233667.0,yfinance
MEOH,Methanex Corporation,Basic Materials,Chemicals,Canada,77364263.0,yfinance
MERC,Mercer International Inc.,Basic Materials,Paper & Paper Products,Canada,66982506.0,yfinance
MET,"MetLife, Inc.",Financial Services,Insurance - Life,United States,643436779.0,yfinance
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,United States,2205128509.0,yfinance
METC,"Ramaco Resources, Inc.",Basic Materials,Coking Coal,United States,53804858.0,yfinance
METCB,"Ramaco Resources, Inc.",Basic Materials,Coking Coal,United States,11506183.0,yfinance
MF,MindForge Inc.,Communication Services,Advertising Agencies,China,1511651.0,yfinance
MFA,"MFA Financial, Inc.",Real Estate,REIT - Mortgage,United States,101596232.0,yfinance
MFC,Manulife Financial Corporation,Financial Services,Insurance - Life,Canada,1665674480.0,yfinance
MFG,"Mizuho Financial Group, Inc.",Financial Services,Banks - Regional,Japan,12182192875.0,yfinance
MFI,mF International Limited,Technology,Software - Application,Hong Kong,49045623.0,yfinance
MFIN,Medallion Financial Corp.,Financial Services,Credit Services,United States,23041645.0,yfinance
MG,"Mistras Group, Inc.",Industrials,Security & Protection Services,United States,31816681.0,yfinance
MGA,Magna International Inc.,Consumer Cyclical,Auto Parts,Canada,272224550.0,yfinance
MGEE,"MGE Energy, Inc.",Utilities,Utilities - Regulated Electric,United States,37746521.0,yfinance
MGIH,Millennium Group International Holdings Limited,Consumer Cyclical,Packaging & Containers,Hong Kong,11250000.0,yfinance
MGLD,"The Marygold Companies, Inc.",Financial Services,Asset Management,United States,42811212.0,yfinance
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,United States,,yfinance
MGN,Megan Holdings Limited,Industrials,Engineering & Construction,Malaysia,,yfinance
MGNI,"Magnite, Inc.",Communication Services,Advertising Agencies,United States,143215003.0,yfinance
MGNX,"MacroGenics, Inc.",Healthcare,Biotechnology,United States,63563123.0,yfinance
MGPI,"MGP Ingredients, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,United States,21414076.0,yfinance
MGRC,McGrath RentCorp,Industrials,Rental & Leasing Services,United States,24425663.0,yfinance
MGRT,Mega Fortune Company Limited,Technology,Information Technology Services,Hong Kong,13750000.0,yfinance
MGRX,"Mangoceuticals, Inc.",Healthcare,Health Information Services,United States,17167422.0,yfinance
MGTX,MeiraGTx Holdings plc,Healthcare,Biotechnology,United States,92609516.0,yfinance
MGX,"Metagenomi Therapeutics, Inc.",Healthcare,Biotechnology,United States,37646858.0,yfinance
MGY,Magnolia Oil & Gas Corporation,Energy,Oil & Gas E&P,United States,236968592.0,yfinance
MGYR,"Magyar Bancorp, Inc.",Financial Services,Banks - Regional,United States,6462729.0,yfinance
MH,"McGraw Hill, Inc.",Consumer Defensive,Education & Training Services,United States,191276168.0,yfinance
MHH,"Mastech Digital, Inc",Industrials,Staffing & Employment Services,United States,,yfinance
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,,yfinance
MHO,"M/I Homes, Inc.",Consumer Cyclical,Residential Construction,United States,25590109.0,yfinance
MI,NFT Limited,Consumer Cyclical,Internet Retail,Hong Kong,230985.0,yfinance
MIAX,"Miami International Holdings, Inc.",Financial Services,Capital Markets,United States,96788640.0,yfinance
